US,,,,,UK
Year,Genre_id,Name,AverageProfit,,
2007,14,History,"$16,634,183",,
2008,10,Musical,"$49,476,751",,
2008,1,Action,"$22,001,419",,
2008,16,Crime,"$19,492,457",,
2008,20,Music,"$17,212,902",,
2008,9,Family,"$13,159,375",,
2008,6,Romance,"$12,851,784",,
2008,13,Drama,"$12,304,375",,
2008,2,Adventure,"$11,368,164",,
2008,4,Sci-Fi,"$11,097,789",,
2008,7,Animation,"$10,651,175",,
2008,8,Comedy,"$8,982,148",,
2008,11,Mystery,"$8,866,938",,
2008,5,Thriller,"$8,685,635",,
2008,17,Horror,"$8,001,508",,
2008,3,Fantasy,"$4,261,840",,
2008,14,History,"$4,209,631",,
2008,21,Documentary,"$2,728,214",,
2008,18,War,"$7,785,855",,
2008,19,Biography,"$8,212,991",,
2008,15,Sport,"$19,521,309",,
2009,19,Biography,"$63,896,576",,
2009,15,Sport,"$49,338,523",,
2009,2,Adventure,"$44,595,201",,
2009,3,Fantasy,"$36,543,198",,
2009,7,Animation,"$29,276,000",,
2009,20,Music,"$28,821,609",,
2009,4,Sci-Fi,"$28,249,622",,
2009,1,Action,"$23,312,165",,
2009,9,Family,"$20,164,465",,
2009,8,Comedy,"$16,939,631",,
2009,6,Romance,"$16,796,180",,
2009,18,War,"$15,501,940",,
2009,13,Drama,"$11,558,581",,
2009,17,Horror,"$11,303,581",,
2009,21,Documentary,"$5,920,204",,
2009,11,Mystery,"$4,781,602",,
2009,16,Crime,"$1,089,635",,
2009,5,Thriller,"$147,088",,
2009,14,History,"$12,744,749",,
2009,10,Musical,"$18,833,420",,
2010,7,Animation,"$53,701,256",,
2010,12,Western,"$48,285,381",,
2010,2,Adventure,"$27,968,865",,
2010,18,War,"$26,749,166",,
2010,4,Sci-Fi,"$26,491,629",,
2010,21,Documentary,"$22,987,674",,
2010,9,Family,"$18,594,649",,
2010,19,Biography,"$18,002,588",,
2010,15,Sport,"$15,701,458",,
2010,11,Mystery,"$14,528,983",,
2010,8,Comedy,"$10,714,477",,
2010,5,Thriller,"$8,401,678",,
2010,20,Music,"$8,332,926",,
2010,16,Crime,"$6,881,461",,
2010,13,Drama,"$6,181,208",,
2010,17,Horror,"$5,946,702",,
2010,3,Fantasy,"$5,659,394",,
2010,6,Romance,"$3,493,834",,
2010,1,Action,"$567,570",,
2010,14,History,"$27,847,516",,
2010,10,Musical,"$37,376,042",,
2011,20,Music,"$29,891,889",,
2011,10,Musical,"$22,915,054",,
2011,6,Romance,"$12,241,956",,
2011,8,Comedy,"$12,196,027",,
2011,16,Crime,"$10,795,211",,
2011,21,Documentary,"$10,075,169",,
2011,5,Thriller,"$8,502,162",,
2011,13,Drama,"$6,382,961",,
2011,17,Horror,"$5,623,710",,
2011,4,Sci-Fi,"$5,392,649",,
2011,2,Adventure,"$5,306,622",,
2011,19,Biography,"$5,231,097",,
2011,7,Animation,"$4,697,542",,
2011,9,Family,"$2,981,121",,
2011,1,Action,"$1,417,491",,
2011,15,Sport,"$1,404,952",,
2011,3,Fantasy,"$1,309,895",,
2011,18,War,"$580,553",,
2011,11,Mystery,"$1,989,388",,
2011,14,History,"$2,926,322",,
2011,12,Western,"$11,792,806",,
2012,14,History,"$64,080,048",,
2012,18,War,"$55,697,034",,
2012,12,Western,"$31,349,943",,
2012,2,Adventure,"$28,840,674",,
2012,7,Animation,"$28,546,888",,
2012,13,Drama,"$26,861,689",,
2012,4,Sci-Fi,"$26,829,086",,
2012,19,Biography,"$24,546,544",,
2012,6,Romance,"$22,015,477",,
2012,5,Thriller,"$19,047,078",,
2012,9,Family,"$18,288,489",,
2012,3,Fantasy,"$17,321,362",,
2012,8,Comedy,"$16,520,510",,
2012,20,Music,"$13,170,118",,
2012,11,Mystery,"$11,150,029",,
2012,16,Crime,"$10,348,085",,
2012,21,Documentary,"$8,652,481",,
2012,17,Horror,"$7,616,192",,
2012,10,Musical,"$7,587,879",,
2012,1,Action,"$6,326,507",,
2012,15,Sport,"$8,243,002",,
2013,10,Musical,"$59,571,589",,
2013,7,Animation,"$44,923,788",,
2013,18,War,"$43,776,425",,
2013,14,History,"$42,483,816",,
2013,19,Biography,"$39,338,609",,
2013,4,Sci-Fi,"$37,371,870",,
2013,9,Family,"$35,137,624",,
2013,17,Horror,"$30,153,250",,
2013,8,Comedy,"$26,914,058",,
2013,21,Documentary,"$17,516,844",,
2013,11,Mystery,"$16,149,566",,
2013,16,Crime,"$15,375,469",,
2013,5,Thriller,"$15,154,550",,
2013,2,Adventure,"$8,663,975",,
2013,20,Music,"$8,558,273",,
2013,3,Fantasy,"$8,460,521",,
2013,13,Drama,"$7,117,324",,
2013,6,Romance,"$1,332,040",,
2013,15,Sport,"$1,377,760",,
2013,1,Action,"$7,029,296",,
2013,12,Western,"$125,710,090",,
2014,14,History,"$164,509,865",,
2014,18,War,"$58,329,703",,
2014,4,Sci-Fi,"$43,771,504",,
2014,19,Biography,"$41,706,767",,
2014,10,Musical,"$27,131,559",,
2014,5,Thriller,"$26,543,363",,
2014,6,Romance,"$24,450,269",,
2014,17,Horror,"$24,279,331",,
2014,8,Comedy,"$23,763,630",,
2014,1,Action,"$22,465,549",,
2014,2,Adventure,"$21,104,703",,
2014,11,Mystery,"$20,324,186",,
2014,16,Crime,"$17,367,015",,
2014,13,Drama,"$17,262,692",,
2014,15,Sport,"$16,106,449",,
2014,9,Family,"$12,205,313",,
2014,20,Music,"$7,638,861",,
2014,3,Fantasy,"$5,735,758",,
2014,7,Animation,"$3,833,380",,
2014,21,Documentary,"$311,472",,
2014,12,Western,"$5,477,716",,
2015,7,Animation,"$75,251,793",,
2015,9,Family,"$56,199,652",,
2015,20,Music,"$54,687,964",,
2015,4,Sci-Fi,"$45,223,622",,
2015,3,Fantasy,"$35,766,617",,
2015,8,Comedy,"$35,359,202",,
2015,2,Adventure,"$33,367,320",,
2015,14,History,"$31,508,890",,
2015,12,Western,"$29,376,057",,
2015,5,Thriller,"$24,704,674",,
2015,1,Action,"$22,998,467",,
2015,6,Romance,"$21,810,801",,
2015,13,Drama,"$15,988,044",,
2015,17,Horror,"$13,005,107",,
2015,16,Crime,"$12,996,229",,
2015,19,Biography,"$10,963,150",,
2015,15,Sport,"$6,123,922",,
2015,21,Documentary,"$1,807,927",,
2015,11,Mystery,"$4,186,719",,
2016,6,Romance,"$47,838,022",,
2016,17,Horror,"$33,340,809",,
2016,8,Comedy,"$26,639,819",,
2016,4,Sci-Fi,"$25,211,900",,
2016,7,Animation,"$16,374,314",,
2016,11,Mystery,"$14,753,018",,
2016,16,Crime,"$13,257,319",,
2016,5,Thriller,"$6,942,023",,
2016,1,Action,"$31,009",,
2016,13,Drama,"$244,386",,
2016,9,Family,"$4,707,916",,
2016,2,Adventure,"$7,957,271",,
2016,18,War,"$13,393,808",,
2016,12,Western,"$23,487,185",,
2016,14,History,"$29,610,033",,
2016,19,Biography,"$29,610,033",,
2016,3,Fantasy,"$81,596,326",,
